KEGG ID,Label,ID
C00354,FBP,FBP
C05345,b-F6P,bF6P
C00092,G6P,G6P
C00103,a-G1P,aG1P
C00042,Succinate,Succinate
C00001,H2O,H2O
C00091,Suc-CoA,SucCoA
C00199,Ru5P,Ru5P
C05382,SH7P,SH7P
C00231,X5P,X5P
C00085,F6P,F6P
C00668,a-G6P,aG6P
C00369,Glycogen,Glycogen
C05378,b-F6P,bF6P
C00158,Citrate,Citrate
C00311,Isocitrate,Isocitrate
C00417,c-Acon,cAcon
C00003,NAD+,NAD
C00037,Glycine,Glycine
C00101,THF,THF
C00004,NADH,NADH
C00011,CO2,CO2
C00014,NH3,NH3
C00080,H+,H
C00143,"5,10-CH2-THF",_510CH2THF
C05167,a-AAc,aAAc
C00161,2-OxoAc,_2OxoAc
C00118,GA3P,GA3P
C00279,E4P,E4P
C00009,PO4-,PO4
C00718,Amylose,Amylose
C00010,CoA,CoA
C00322,2-Oxoadipate,_2Oxoadipate
C00527,Glutaryl-CoA,GlutarylCoA
C00065,Serine,Serine
C02218,Dha,Dha
C00022,Pyr,Pyr
C00026,a-KG,aKG
C00002,ATP,ATP
C00008,ADP,ADP
C16255,S-adhlam-E,SadhlamE
C00081,ITP,ITP
C00345,6PG,_6PG
C00013,PPi,PPi
C00036,Oxa,Oxa
C00104,IDP,IDP
C06157,S-Glutdhlam-E,SGlutdhlamE
C02232,b-KA-CoA,bKACoA
C00111,DHAP,DHAP
C16636,tRNA(Sec),tRNASec
C00020,AMP,AMP
C06481,L-Seryl-tRNA(Sec),LSeryltRNASec
C02553,L-Seryl-tRNA(Ser),LSeryltRNASer
C01650,tRNA(Ser),tRNASer
C04377,"5,10-MTHMPT",_510MTHMPT
C01217,THMPT,THMPT
C00074,PEP,PEP
C00044,GTP,GTP
C00035,GDP,GDP
C00063,CTP,CTP
C00112,CDP,CDP
C00075,UTP,UTP
C00015,UDP,UDP
C00131,dATP,dATP
C00361,dGDP,dGDP
C00201,NTP,NTP
C00454,NDP,NDP
C15972,LAm-E,LAmE
C00024,Ac-CoA,AcCoA
C00149,Mal,Mal
C00122,Fum,Fum
C03090,PRA,PRA
C03838,GAR,GAR
C05729,CysGly-S,CysGlyS
C05726,Cys-S,CysS
C01419,CysGly,CysGly
C00097,Cys,Cys
C03508,2A-3OxoBAc,_2A3OxoBAc
C02051,LipoylP,LipoylP
C01642,tRNA(Gly),tRNAGly
C02412,Glycyl-tRNA(Gly),GlycyltRNAGly
C00669,5-GlutCys,_5GlutCys
C01242,[GcvH]-S-aminomethyl-N6-dihydrolipoyl-L-lysine,GcvHSaminomethylN6dihydrolipoylLlysine
C00051,GSH,GSH
C00286,dGTP,dGTP
C00068,ThPP,ThPP
C00206,dADP,dADP
C05125,2-HE-ThPP,_2HEThPP
C00005,NADPH,NADPH
C00006,NADP+,NADP
C00025,Glu,Glu
C00040,Acyl-CoA,AcylCoA
C00041,Ala,Ala
C00048,Glyox,Glyox
C00083,Malo-CoA,MaloCoA
C00100,Propa-CoA,PropaCoA
C00988,2-PG,_2PG
C01209,Malo-[ACP],MaloACP
C03444,PCMB,PCMB
C04284,HQNO,HQNO
C00447,SBP,SBP
C07118,BenzAcet-CoA,BenzAcetCoA
C16254,S-SDHLA-E,SSDHLAE
C16339,IsojasAc-CoA,IsojasAcCoA
C00249,PalmAc,PalmAc
C01213,MetMalo-CoA,MetMaloCoA
C11592,DEPC,DEPC
C05625,Rutin,Rutin
C20679,H2WO4,H2WO4
C01271,HAcyl-ACP,HAcylACP
C05744,AceAyl-ACP,AceAylACP
C05749,Hexan-ACP,HexanACP
C00390,QH2,QH2
C00197,3-PGA,_3PGA
C05381,3-Carboxy-1-hydroxypropyl-ThPP,_3Carboxy1hydroxypropylThPP
C00046,RNA,RNA
C00079,L-phenylalanine,Lphenylalanine
C00185,Cellobiose,Cellobiose
C00212,Adenosine,Adenosine
C04734,FAICAR,FAICAR
C00214,Thymidine,Thymidine
C06312,L-Tagatose 6-phosphate,LTagatose6phosphate
C05713,Cyanoglycoside,Cyanoglycoside
C00049,L-Aspartate,LAspartate
C00575,Cyclic AMP,CyclicAMP
C00606,3-Sulfinoalanine,_3Sulfinoalanine
C00082,L-Tyrosine,LTyrosine
C00685,3-Oxoacyl-ACP,_3OxoacylACP
C05703,Methaneselenol,Methaneselenol
C06136,GA1,GA1
C13563,Sodium chloride,Sodiumchloride
C00334,4-Aminobutanoate,_4Aminobutanoate
C06187,Arbutin-6P,Arbutin6P
C00262,Hypoxanthine,Hypoxanthine
C00327,Citrulline,Citrulline
C01240,"2',3'-Cyclic nucleotide",_23Cyclicnucleotide
C15653,Peptide-L-methionine (R)-S-oxide,PeptideLmethionineRSoxide
C00693,"trans-2,3-Dehydroacyl-ACP",trans23DehydroacylACP
C00437,N-Acetylornithine,NAcetylornithine
C00647,Pyridoxamine phosphate,Pyridoxaminephosphate
C00236,3-Phospho-D-glyceroyl phosphate,_3PhosphoDglyceroylphosphate
C00167,UDP-glucuronate,UDPglucuronate
C14787,"(1S,2R)-Naphthalene 1,2-oxide",_1S2RNaphthalene12oxide
C04160,tRNA containing N7-methylguanine,tRNAcontainingN7methylguanine
C00921,Dihydropteroate,Dihydropteroate
C00705,dCDP,dCDP
C00078,Tryptophan,Tryptophan
C01367,3'-AMP,_3AMP
C00147,Adenine,Adenine
C00018,PLP,PLP
C05754,trans-Dec-2-enoyl-ACP,transDec2enoylACP
C03735,alpha-D-Hexose 6-phosphate,alphaDHexose6phosphate
C14857,"1,1-Dichloroethylene epoxide",_11Dichloroethyleneepoxide
C00151,L-Amino acid,LAminoacid
C12215,Iminoerythrose 4-phosphate,Iminoerythrose4phosphate
C04181,3-Hydroxy-3-methyl-2-oxobutanoic acid,_3Hydroxy3methyl2oxobutanoicacid
C05748,trans-Hex-2-enoyl-ACP,transHex2enoylACP
C04268,"dTDP-4-amino-4,6-dideoxy-D-glucose",dTDP4amino46dideoxyDglucose
C00688,dTDP-4-dehydro-beta-L-rhamnose,dTDP4dehydrobetaLrhamnose
C06697,Arsenite,Arsenite
C00750,Spermine,Spermine
C00159,Mannose,Mannose
C01179,3-(4-Hydroxyphenyl)pyruvate,_34Hydroxyphenylpyruvate
C01909,Dethiobiotin,Dethiobiotin
C00645,N-Acetyl-D-mannosamine,NAcetylDmannosamine
C02992,L-Threonyl-tRNA(Thr),LThreonyltRNAThr
C01112,D-Arabinose 5-phosphate,DArabinose5phosphate
C03232,3-Phosphonooxypyruvate,_3Phosphonooxypyruvate
C05839,beta-D-Glucosyl-2-coumarinate,betaDGlucosyl2coumarinate
C00119,PRPP,PRPP
C01051,Uroporphyrinogen III,UroporphyrinogenIII
C06135,GA2,GA2
C03722,Quinolinate,Quinolinate
C00828,Menaquinone,Menaquinone
C04006,D-myo-Inositol 3-phosphate,DmyoInositol3phosphate
C00864,Pantothenate,Pantothenate
C00233,4-Methyl-2-oxopentanoate,_4Methyl2oxopentanoate
C01450,Ketone,Ketone
C04039,"2,3-Dihydroxy-3-methylbutanoate",_23Dihydroxy3methylbutanoate
C03263,Coproporphyrinogen III,CoproporphyrinogenIII
C03451,S-D-Lactoylglutathione,SDLactoylglutathione
C00227,Acetyl phosphate,Acetylphosphate
C03160,2-Succinylbenzoyl-CoA,_2SuccinylbenzoylCoA
C05768,Coproporphyrinogen I,CoproporphyrinogenI
C07600,Allicin,Allicin
C16664,Tryparedoxin disulfide,Tryparedoxindisulfide
C05394,3-Keto-beta-D-galactose,_3KetobetaDgalactose
C05399,Melibiitol,Melibiitol
C00071,Aldehyde,Aldehyde
C00248,Lipoamide,Lipoamide
C04232,2'-Deoxyribonucleoside diphosphate,_2Deoxyribonucleosidediphosphate
C07292,Glutaredoxin,Glutaredoxin
C03523,N-Substituted amino acid,NSubstitutedaminoacid
C00460,dUTP,dUTP
C01250,N-Acetyl-L-glutamate 5-semialdehyde,NAcetylLglutamate5semialdehyde
C04281,L-1-Pyrroline-3-hydroxy-5-carboxylate,L1Pyrroline3hydroxy5carboxylate
C00160,Glycolate,Glycolate
C05512,Deoxyinosine,Deoxyinosine
C16619,6-Thioguanosine monophosphate,_6Thioguanosinemonophosphate
C04051,5-Amino-4-imidazolecarboxyamide,_5Amino4imidazolecarboxyamide
C03512,L-Tryptophanyl-tRNA(Trp),LTryptophanyltRNATrp
C00130,IMP,IMP
C00441,Aspartate beta-semialdehyde,Aspartatebetasemialdehyde
C02988,L-Histidyl-tRNA(His),LHistidyltRNAHis
C01013,3-Hydroxypropanoate,_3Hydroxypropanoate
C00462,Halide,Halide
